"","ENSG00000277146.1","ENSG00000188399.5","ENSG00000231514.1","ENSG00000235857.1","ENSG00000233843.1","ENSG00000224240.1","ENSG00000237917.1","ENSG00000227629.1","ENSG00000215506.5","ENSP00000005587.2","ENSP00000009530.7","ENSP00000216392.7","ENSP00000226253.4","ENSP00000247470.9","ENSP00000249071.6","ENSP00000257555.5","ENSP00000258662.1","ENSP00000262233.7","ENSP00000262644.4","ENSP00000262776.2","ENSP00000263278.3","ENSP00000263398.6","ENSP00000266556.7","ENSP00000267568.4","ENSP00000277746.6","ENSP00000283206.4","ENSP00000287934.2","ENSP00000289902.1","ENSP00000293373.6","ENSP00000294435.7","ENSP00000295095.6","ENSP00000299736.4","ENSP00000299759.6","ENSP00000301776.5","ENSP00000305675.4","ENSP00000306565.5","ENSP00000311888.4","ENSP00000318318.6","ENSP00000328923.2","ENSP00000331260.2","ENSP00000332887.6","ENSP00000334113.5","ENSP00000339581.3","ENSP00000342278.4","ENSP00000342557.2","ENSP00000343032.5","ENSP00000344577.2","ENSP00000350848.2","ENSP00000352144.3","ENSP00000358719.3","ENSP00000359497.3","ENSP00000359727.4","ENSP00000363965.1","ENSP00000365012.2","ENSP00000368959.4","ENSP00000370394.3","ENSP00000376349.2","ENSP00000382026.4","ENSP00000383155.2","ENSP00000385478.2","ENSP00000391453.1","ENSP00000396874.2","ENSP00000408288.3","ENSP00000418571.4","ENSP00000427463.1","ENSP00000428657.2","ENSP00000432799.3","ENSP00000448911.2","ENSP00000465281.1","ENSP00000500245.1"
"ENSP00000216392.7",0.296597329786755,0.30277960565013,0.281375169039513,0.285704637282341,0.286911127991616,0.285248990249346,0.293515195461267,0.294135297037606,0.283574605366157,0.0775194605402914,0.088835624075241,0,0.0881753813809457,0.0975377329558252,0.0730348493835557,0.0753497710648759,0.102554113532885,0.0905986991840557,0.0796679242875625,0.0767947219626293,0.0783502401075654,0.0800498942723058,0.0790458201625377,0.0987278974546955,0.0908416159267975,0.0855998072884434,0.0814583169693197,0.0866394880003534,0.0898012695768508,0.0876207392412614,0.0845616786993958,0.111788948314399,0.128135087244198,0.0920810492590935,0.0819264862065001,0.0969865370608585,0.103304399329696,0.0797715218642804,0.102765356411202,0.0857701853758491,0.120269969136773,0.119709123146489,0.0830001434937941,0.080693126093165,0.0966570813392653,0.0917051260048903,0.0888819050505006,0.122787307058386,0.0761798295048862,0.0836915077107115,0.0837939416878072,0.0841528344544116,0.080056271688469,0.0932689323868236,0.102794768791323,0.0940705763965249,0.088070039759986,0.0915824300540576,0.0897916558737732,0.0922784074503395,0.0964576211435855,0.0917220230087141,0.112032850167715,0.0812780092830681,0.0771872153516488,0.0803222239342548,0.0949310128618351,0.0826027241544371,0.079115520790085,0.0812512369565551
"ENSP00000226253.4",0.309012918082568,0.3052724773153,0.313339182203445,0.299414205587409,0.29074612352826,0.300279002689154,0.300491025522982,0.304003205490398,0.288900279534665,0.0805491169213163,0.0936458574628389,0.0881753813809457,0,0.100471058304726,0.0776683129208622,0.0793318249608246,0.106403691304721,0.0947304777313651,0.0825328937241154,0.0800506233175369,0.0829736137625665,0.0850158636735407,0.0802602362801814,0.102007292349045,0.0928501559653619,0.0870750332574004,0.0827889475604961,0.0901544668244348,0.0948260008319564,0.0900971190156675,0.087132536968179,0.116549505801531,0.128265602507807,0.0950531890058554,0.0855622288991887,0.103228644499979,0.106251686925575,0.0840454567692799,0.110202004572982,0.0905211510994452,0.123176598944329,0.123187892755322,0.0858020521681867,0.0837084415922195,0.0982091242867028,0.0947231670839812,0.092959479834635,0.128672529012418,0.0778004006514837,0.08839580294717,0.089847234925508,0.0863848264840036,0.0806691534205287,0.097614767481251,0.106226858235148,0.0972357888582604,0.0883232756978606,0.0926792761003633,0.090044095037765,0.0950800514910644,0.0957489403234151,0.093255018258862,0.114249052738459,0.0861954673559701,0.0795629090947489,0.0843604977508895,0.0988508880894526,0.0817729575941631,0.079314109702787,0.084109165109049
"ENSP00000247470.9",0.336444903518114,0.336756122776743,0.344122042031974,0.333122342643952,0.32723295958844,0.330350958703897,0.326109982927703,0.336068490895617,0.3331895120207,0.0882885319163278,0.104779720196722,0.0975377329558252,0.100471058304726,0,0.0873666996354201,0.0871678461383331,0.12061606165669,0.106727817031807,0.0884639521998686,0.0876278636560433,0.0887710457111408,0.0929671743755989,0.087237888265854,0.11409359363787,0.104724165492961,0.0972663137354446,0.0921244985205594,0.0981941989721817,0.102623947218151,0.0988528593864235,0.0947956888803721,0.128499892132773,0.142403011034107,0.106275195792162,0.0931345466840851,0.112465020204141,0.120348558629784,0.093381433129715,0.117423112457962,0.0991023008114703,0.134700034238822,0.136878786333805,0.0959213688327239,0.0934459735368768,0.109228191942462,0.103070972939671,0.101144211453226,0.138894821391903,0.0856288718503981,0.0964386255305548,0.0956462572322917,0.094965900338266,0.0886974589732077,0.103706655855285,0.121731852646643,0.107899232192351,0.0984147476412964,0.104437861926182,0.0982729836762052,0.106099106323849,0.106017613453809,0.103490636430367,0.127490272765368,0.0950699519751058,0.0863768845546588,0.0926622708877321,0.112097250294583,0.0912879007791493,0.0877085589608311,0.0934906014151117
"ENSP00000249071.6",0.258550934582632,0.257506358363402,0.266898461763449,0.260090998520517,0.245438988100165,0.259197811070119,0.246795292988821,0.249130386106504,0.248845147723693,0.0674878045429257,0.0802224648356841,0.0730348493835557,0.0776683129208622,0.0873666996354201,0,0.0670726779188252,0.0898376101824318,0.0798069578285514,0.0691966607843346,0.0670928758729018,0.0691555185637724,0.0734133700687898,0.0664597960507056,0.0860500568263832,0.079051158221295,0.0728602044530969,0.0706127144148858,0.0759827799506347,0.0795699606640596,0.0756503880684721,0.0740090286147282,0.0969388407030525,0.107121256694196,0.0822285242612836,0.0717826827175336,0.0838736702955643,0.0901360913829409,0.0694186404255988,0.0904117997905866,0.0758160586317493,0.104627318307887,0.109755699644693,0.0722609484185206,0.072332229971067,0.0832416050153197,0.0800021590580589,0.0783516092986094,0.10804676265459,0.0657744939910555,0.0719780314748342,0.072451675528322,0.0733031395109307,0.0687357679695346,0.0804956079748275,0.0910907977672875,0.0812112259730707,0.0763905357116351,0.081088042066817,0.0762295918664758,0.0826277547822091,0.0816295191371137,0.0778134526206537,0.0986509403335814,0.0720553933344381,0.0675086726846839,0.0738944005655085,0.0863833454707369,0.0703083107434684,0.0665533243203962,0.0716657646916947
"ENSP00000257555.5",0.26532848278885,0.261202680025922,0.260970312336462,0.259668037039733,0.255902684936982,0.258716933600821,0.247673526691012,0.253609337438149,0.251246299903157,0.0685927429024356,0.0812822257721176,0.0753497710648759,0.0793318249608246,0.0871678461383331,0.0670726779188252,0,0.0902382793455044,0.0832056498743909,0.0724818814286191,0.0679779099996367,0.0689899390417222,0.0729298496140373,0.0693718557623817,0.0866387333500767,0.0791348222553722,0.0752639733213965,0.0704856747241108,0.0754166402634347,0.080928105340396,0.0774648643387311,0.0749679268919233,0.100099294954019,0.112505359443168,0.0822604786605499,0.0714728967272897,0.0868077740494387,0.0907174107473689,0.0707812832918777,0.0929401958486866,0.0771098654031526,0.107709221643794,0.103628746316571,0.0724984276001475,0.0727260989418987,0.0865428354291395,0.0804727002580169,0.0805349370576846,0.110480962197815,0.0668499558769593,0.0755603939246386,0.0748656794358983,0.0751908780036971,0.0696092514518146,0.0836398203271172,0.0906788017489384,0.0835620689820819,0.0780638776523424,0.0809264819005348,0.0775719326175875,0.0826564912555364,0.0816027014164348,0.0811020332168597,0.101754969878648,0.0741378878882141,0.0672094269314295,0.0710485487449617,0.0870216577621114,0.0703950271718048,0.0669832140484054,0.0695426141705117
"ENSP00000258662.1",0.361335204488662,0.356043358777473,0.350386055063948,0.353975750533091,0.34433432866285,0.350651195121797,0.336606029241615,0.352890045012996,0.342317311001961,0.0921014963525804,0.107674287292589,0.102554113532885,0.106403691304721,0.12061606165669,0.0898376101824318,0.0902382793455044,0,0.108992778799649,0.0942652789027321,0.0899727474424676,0.0930509628423665,0.100168063510675,0.0907889401194192,0.119512561229052,0.108933638135565,0.102110190041396,0.0951074059639976,0.104005074452409,0.108365738144359,0.103837304572343,0.0990834411895157,0.133304210131768,0.14877317937588,0.109130573253542,0.0956905115054075,0.116043029770991,0.123026438951323,0.0947106775223026,0.122252774838979,0.10214612144784,0.147210558082294,0.145869665800124,0.0975033093917674,0.0963244669995198,0.1150189871417,0.105999514126049,0.107292853293965,0.145820716322042,0.0895190449645002,0.101578758624052,0.0988494245408258,0.0992122544831577,0.0952003579238323,0.112370237324263,0.126778603032972,0.111729313924656,0.103170355802177,0.106558079236986,0.101839823342749,0.109875311667987,0.110610272636537,0.106856864210683,0.131929128666292,0.100363993344822,0.0889827964592719,0.0994358590712605,0.113318190732849,0.0966348225112545,0.091308441584219,0.097826422090203
"ENSP00000262233.7",0.316212972135604,0.312942394001685,0.317994893512633,0.314281110220041,0.303895269346194,0.305675006927846,0.310028680598083,0.307737556549867,0.307253656853204,0.0842349979231113,0.0959659061339728,0.0905986991840557,0.0947304777313651,0.106727817031807,0.0798069578285514,0.0832056498743909,0.108992778799649,0,0.0835415538521858,0.0821734823424301,0.0848394966762265,0.0872944357716726,0.0796032903309495,0.107915790756252,0.0951970295651147,0.0908114115338228,0.0860169952703582,0.0938751983092029,0.0946810043907788,0.0948527096258534,0.0895104469697071,0.119211251244001,0.132540753519154,0.0973660739936265,0.0885352767083621,0.104777749159354,0.107103411367277,0.0862987698921137,0.113034192551936,0.0922810157387675,0.129323025072095,0.125684005429437,0.0872021056928042,0.0851503141406956,0.103056691123336,0.0953783703654072,0.0951076869167084,0.132871402361977,0.0810494341755384,0.0892902676511913,0.0869230121534562,0.0870873026019281,0.0849745869917615,0.0969977587665312,0.111516721377277,0.0994258020610095,0.0893484572659745,0.0958701366652904,0.0930797890845645,0.100203059078528,0.0968617284538119,0.0961164797132911,0.118833672199717,0.087633667443244,0.0823219682711665,0.0880222744224983,0.103133836995315,0.0840498195362826,0.0813206154983469,0.0861620750465689
"ENSP00000262644.4",0.270107846383243,0.275262224939571,0.267865491716733,0.265512269533942,0.259403914558984,0.266293281100722,0.26093761233405,0.268484882762413,0.25938512239085,0.071437632779241,0.0827519049312272,0.0796679242875625,0.0825328937241154,0.0884639521998686,0.0691966607843346,0.0724818814286191,0.0942652789027321,0.0835415538521858,0,0.0714226545997529,0.0709599435695187,0.0746612079205011,0.0704265630450686,0.0920226242503971,0.0828188772303148,0.0781108198350386,0.0750011893653883,0.0810267185007451,0.0835478275947401,0.0841242532356278,0.0776707859588653,0.103677686105381,0.114691054940584,0.0852984795511713,0.0750708928963879,0.0891679299181041,0.0919624346439803,0.0739081393874913,0.0954789126146233,0.0790457082253471,0.109152675793306,0.108656030543269,0.0750246441922679,0.0757547916078306,0.0894316757037826,0.0843865960547842,0.0824247123773477,0.114820851692687,0.070219966239802,0.0770812850748807,0.0774346959310191,0.0768198390210244,0.0720396468064545,0.0855550198569656,0.0940524526769416,0.084766395040472,0.0823843562692716,0.0849654914282563,0.0793519303842331,0.0851916705427616,0.0855653395731948,0.0830064593346812,0.102896473622953,0.075828789516352,0.0693130608388479,0.0751028327431751,0.0917403942784281,0.0713621126623058,0.0683403858145319,0.0740086404498143
"ENSP00000262776.2",0.264746551625337,0.260816009497492,0.265858601942599,0.260008159412524,0.258376560676696,0.258794595504735,0.249057206971708,0.257203604973761,0.25356012995512,0.0698152234424208,0.0800132029180494,0.0767947219626293,0.0800506233175369,0.0876278636560433,0.0670928758729018,0.0679779099996367,0.0899727474424676,0.0821734823424301,0.0714226545997529,0,0.067766133267661,0.0724974838743805,0.0671277343540924,0.088559644468246,0.0779836345222961,0.07504346359796,0.074240478902028,0.0763435689270589,0.0785484351359685,0.0785155475863591,0.0748413476826675,0.0977769420798008,0.111645252418511,0.0814783227308575,0.0720984296747849,0.0868086668182484,0.0927973940781732,0.0706416322427996,0.0909605065626351,0.076688722594612,0.104730999593126,0.108283393412334,0.0749680221966806,0.0744558810539937,0.0867939547828994,0.0802081605297752,0.078529440322168,0.108335574860378,0.0670185644481814,0.0749400743598952,0.0743143429232927,0.0727267995136018,0.0694788737342316,0.0832469740601365,0.0931228346964586,0.0861523611378361,0.0767809506746104,0.0822427834396417,0.0767102935792034,0.0819493341472319,0.0820306939027002,0.0813405438990552,0.0980753299045683,0.0734626116264414,0.0680424457010429,0.071034156296533,0.0863553948296523,0.0713331409876351,0.0675880455224935,0.0694705186779943
"ENSP00000263278.3",0.262522277902678,0.277965804559385,0.267490509200016,0.261244907440455,0.259312036895238,0.264918174101653,0.259483128394705,0.265743277438685,0.249301083569274,0.0719702935046455,0.0807994389135734,0.0783502401075654,0.0829736137625665,0.0887710457111408,0.0691555185637724,0.0689899390417222,0.0930509628423665,0.0848394966762265,0.0709599435695187,0.067766133267661,0,0.0733710820493512,0.069558047975062,0.0900760556687999,0.0826031490099421,0.0762973938401941,0.07281102500952,0.0779809756882461,0.0829345971866598,0.0772728256636326,0.0747952105884387,0.102809299860475,0.113465954677002,0.0827173443834273,0.0741357574731982,0.090645477947833,0.0940003830200675,0.0704425612192721,0.0949066141360433,0.077966924927296,0.104821254151742,0.107142516389273,0.0740568312504089,0.0746961825548514,0.0878836565096284,0.0826134172659317,0.0808256177709502,0.112470524080366,0.0707789383082037,0.0748782747995709,0.0763052173660058,0.0766773415112498,0.0723076785654209,0.0844323178436066,0.09310200911427,0.0855550254829911,0.0783620638772217,0.0830292123790088,0.0785757523773289,0.0842887603695542,0.0842509960557571,0.0830491364361879,0.102441611160402,0.0738080893934611,0.0703604409592748,0.0721286918837683,0.0880239513056076,0.0730384648404297,0.0699172517134746,0.072304660626514
