"","ROPN1_54763","TTC36_143941","RARA_5914","CYP2B7P1_1556","LONRF2_164832","CACNA2D2_9254","MAGED2_10916","CHODL_140578","FABP7_2173","SCUBE2_57758","IL34_146433","TRIM29_23650","TSPAN1_10103","CCDC96_257236","MAPK4_5596","C6orf211_79624","C14orf174_161394","CRYAB_1410","MCCC2_64087","GFRA1_2674","TTC8_123016"
"IL34_146433",2.91162538633457e-05,3.2559803681856e-05,1.5768623129825e-05,1.58671771359611e-05,1.94339287634571e-05,2.64921798766708e-05,3.41614753433543e-05,3.7215392041106e-05,3.02085243447926e-05,2.55670519405654e-05,0,3.10514691900959e-05,1.10240635033403e-05,1.6341335052308e-05,2.11821374086946e-05,6.9768382277132e-06,2.66575825223048e-05,3.46468439850429e-06,1.2713867126776e-05,3.16418851368997e-05,2.50584295937257e-05
"TRIM29_23650",0.00142462397363649,0.00136870327363386,0.000522010514262369,0.000236685077926023,0.000507541551645594,0.00145873097589014,0.00123844559895686,0.00133267867155866,0.000823120971018223,0.00202917900015032,3.10514691900959e-05,0,0.000561693998506224,0.000521487587058207,0.000497190652714001,7.31592886508508e-05,0.001514160426223,3.06167127671426e-05,0.000170150381852861,0.00151440023292097,0.00050031180093538
"TSPAN1_10103",0.000445407169308971,0.000513295807321815,0.000213408489836413,0.000127843734691765,0.000215089198994538,0.000475324952520026,0.000451922385529631,0.000439789422047342,0.000281173436941853,0.000714258143286572,1.10240635033403e-05,0.000561693998506224,0,0.00023443897213067,0.000197370164757579,2.77137475617892e-05,0.000467779781800917,9.10014868310536e-06,0.000113706190987453,0.000515836443249498,0.000193298992228268
"CCDC96_257236",0.000366992723427372,0.00046952220969958,0.000209495227349898,0.000119236511657925,0.00020687981754024,0.000409950827534469,0.000435725278229852,0.000391864903604459,0.000272562888213504,0.000599017975763842,1.6341335052308e-05,0.000521487587058207,0.00023443897213067,0,0.000164824716486401,3.13311799742822e-05,0.000447773833518952,9.5238896530402e-06,0.000115992939164104,0.000445628690357917,0.000219747987880703
"MAPK4_5596",0.000312357327196098,0.00039981027402002,0.000133576575800604,0.000111480544462517,0.000139002463819082,0.000342527329810503,0.000339708415581908,0.00034518562851003,0.000254132858016066,0.000466600814210368,2.11821374086946e-05,0.000497190652714001,0.000197370164757579,0.000164824716486401,0,3.5885762249772e-05,0.000354188700868743,1.72947929308165e-05,9.94388513146615e-05,0.000369829034715675,0.000170126251562375
"C6orf211_79624",4.61414638398547e-05,5.74997494947003e-05,2.23266643838755e-05,3.3136779937214e-05,2.58212695023117e-05,6.29674889554108e-05,6.97861454775367e-05,4.89804559584042e-05,5.58926705137873e-05,6.75458246062677e-05,6.9768382277132e-06,7.31592886508508e-05,2.77137475617892e-05,3.13311799742822e-05,3.5885762249772e-05,0,4.39568393569564e-05,8.99608906125459e-06,2.71059727650896e-05,5.32162067405903e-05,3.20589978753935e-05
"C14orf174_161394",0.000994516713367381,0.00111914040691309,0.000387578823868297,0.000198926315208915,0.000412211027496091,0.00110562909176802,0.00101386330060627,0.00104547220783928,0.000593747436135813,0.00166323833402335,2.66575825223048e-05,0.001514160426223,0.000467779781800917,0.000447773833518952,0.000354188700868743,4.39568393569564e-05,0,1.40845645513394e-05,0.000146525682102104,0.00123311151364654,0.000385038566271672
"CRYAB_1410",1.57417923131175e-05,2.44936090744629e-05,4.60608296803474e-06,1.39741671456452e-05,5.9359121328505e-06,2.46544602998521e-05,2.68627924507885e-05,2.0263778094227e-05,2.173906822556e-05,2.36505190904917e-05,3.46468439850429e-06,3.06167127671426e-05,9.10014868310536e-06,9.5238896530402e-06,1.72947929308165e-05,8.99608906125459e-06,1.40845645513394e-05,0,1.23454069118999e-05,1.69899467811661e-05,1.26170566275935e-05
"MCCC2_64087",0.000130063565347345,0.000200881793436907,6.65031322010532e-05,7.68907349107916e-05,8.56506686751238e-05,0.000156503516003864,0.000194671567700432,0.000150921428061001,0.000130222195502347,0.000213079163309438,1.2713867126776e-05,0.000170150381852861,0.000113706190987453,0.000115992939164104,9.94388513146615e-05,2.71059727650896e-05,0.000146525682102104,1.23454069118999e-05,0,0.00016400616065988,9.50906244436184e-05
"GFRA1_2674",0.00109281253031317,0.00115173677068344,0.000467037725259227,0.000219990180610626,0.000488154463572795,0.00117660114624824,0.00103116516250022,0.00109080601267462,0.000649789926491773,0.00164982952987845,3.16418851368997e-05,0.00151440023292097,0.000515836443249498,0.000445628690357917,0.000369829034715675,5.32162067405903e-05,0.00123311151364654,1.69899467811661e-05,0.00016400616065988,0,0.000407543157491498
