"","l1","l2","l3","TrainMetric","TestMetric"
"78",0.7,0.5,0.8,0.756403004792326,0.675977653631285
"79",0.8,0.5,0.8,0.759466684229489,0.669304779639975
"80",0.9,0.5,0.8,0.759466684229489,0.669304779639975
"81",0.5,0.6,0.8,0.753896815834434,0.667008069522036
"82",0.6,0.6,0.8,0.753897590664843,0.674810676598386
"83",0.7,0.6,0.8,0.758074701399731,0.681527001862197
"84",0.8,0.6,0.8,0.762253361795437,0.669286157666046
"85",0.9,0.6,0.8,0.762253361795437,0.669286157666046
"86",0.5,0.7,0.8,0.760580115527214,0.671464928615767
"87",0.6,0.7,0.8,0.751671502899803,0.678144009931719
"88",0.7,0.7,0.8,0.760023787293556,0.674816883923029
"89",0.8,0.7,0.8,0.764200123198035,0.669304779639975
"90",0.9,0.7,0.8,0.764200123198035,0.669304779639975
"91",0.5,0.8,0.8,0.760301951410385,0.675934202358783
"92",0.6,0.8,0.8,0.755287636418579,0.674792054624457
"93",0.7,0.8,0.8,0.759744460931114,0.678150217256362
"94",0.8,0.8,0.8,0.764477899899659,0.669298572315332
"95",0.9,0.8,0.8,0.764477899899659,0.669298572315332
"96",0.5,0.9,0.8,0.760301951410385,0.675934202358783
"97",0.6,0.9,0.8,0.755287636418579,0.674792054624457
"98",0.7,0.9,0.8,0.759744460931114,0.678150217256362
"99",0.8,0.9,0.8,0.764477899899659,0.669298572315332
"100",0.9,0.9,0.8,0.764477899899659,0.669298572315332
"101",0.5,0.5,0.9,0.71353202567788,0.681483550589696
"102",0.6,0.5,0.9,0.713807865303482,0.670347610180012
"103",0.7,0.5,0.9,0.719099956996912,0.663699565487275
"104",0.8,0.5,0.9,0.722714928270075,0.663674736188703
"105",0.9,0.5,0.9,0.722714928270075,0.663674736188703
"106",0.5,0.6,0.9,0.714367292858776,0.674804469273743
"107",0.6,0.6,0.9,0.717986138283983,0.662569832402235
"108",0.7,0.6,0.9,0.731346926441475,0.663693358162632
"109",0.8,0.6,0.9,0.727450304314643,0.657008069522036
"110",0.9,0.6,0.9,0.727450304314643,0.657008069522036
"111",0.5,0.7,0.9,0.722716477930893,0.661440099317194
"112",0.6,0.7,0.9,0.721327981837975,0.664792054624457
"113",0.7,0.7,0.9,0.727729630677086,0.663699565487275
"114",0.8,0.7,0.9,0.726337647847327,0.655890751086282
"115",0.9,0.7,0.9,0.726337647847327,0.655890751086282
"116",0.5,0.8,0.9,0.722716477930893,0.661440099317194
"117",0.6,0.8,0.9,0.721327981837975,0.664792054624457
"118",0.7,0.8,0.9,0.727729630677086,0.664810676598386
"119",0.8,0.8,0.9,0.726337647847327,0.655890751086282
"120",0.9,0.8,0.9,0.726337647847327,0.655890751086282
"121",0.5,0.9,0.9,0.722716477930893,0.661440099317194
"122",0.6,0.9,0.9,0.721327981837975,0.664792054624457
"123",0.7,0.9,0.9,0.727729630677086,0.664810676598386
"124",0.8,0.9,0.9,0.726337647847327,0.655890751086282
"125",0.9,0.9,0.9,0.726337647847327,0.655890751086282
