"","X1.oleoyl.2.docosahexaenoyl.GPC..18.1.22.6..","X1.palmitoyl.2.stearoyl.GPC..16.0.18.0.","X3.acetylphenol.sulfate","X3.hydroxycotinine.glucuronide","X4.acetamidophenol","X4.methylbenzenesulfonate","X5.acetylamino.6.amino.3.methyluracil","X5.acetylamino.6.formylamino.3.methyluracil","X5.hydroxyhexanoate","X5.hydroxyindole.sulfate","androstenediol..3beta.17beta..monosulfate..2.","androsterone.glucuronide","aspartate","beta.sitosterol","citrulline","diacylglycerol..14.0.18.1..16.0.16.1...1..","dodecenedioate..C12.1.DC..","gulonate.","N4.acetylcytidine","N.acetylputrescine","N.formylmethionine","N.methylpipecolate","octadecanedioylcarnitine..C18.DC..","oleoyl.arachidonoyl.glycerol..18.1.20.4...2..","palmitoyl.arachidonoyl.glycerol..16.0.20.4...1..","p.cresol.glucuronide.","phenylacetate","phenylacetylglutamate","X...12212...retired.for.4.allylcatechol.sulfate","X...12216","X...12812","X...13553","X...13728","X...16580","X...17327...retired.for.glutamine.conjugate.of.C7H12O2.","X...17335","X...18888","X...21735...retired.for.tetradecadienedioate..C14.2.DC..","X...24748","Sclerostin","Cystatin.C","Growth.differentiation.factor.11.8","C.C.motif.chemokine.14","von.Willebrand.factor","Hyaluronan.and.proteoglycan.link.protein.1","Biglycan","Alanine.aminotransferase.1","Carbonic.anhydrase.3","Ephrin.type.A.receptor.5","Cofilin.1","Proteasome.subunit.alpha.type.2","Elafin","ASGR1","IGFBP.2","FBLN3"
"androstenediol..3beta.17beta..monosulfate..2.",0.0397205400732172,0.038171391588581,0.0337688674810403,0.0323871317643139,0.0310415968465322,0.0344291243119961,0.0340347830566802,0.0245210294840947,0.0411837439433823,0.0221603501906825,0,0.0848899057342944,0.03674950199967,0.0343061427036556,0.0161780742562122,0.0226385915182427,0.0472246801194717,0.0189562513864336,0.0415100839345918,0.0294874894387503,0.0292347601548322,0.0211042111366419,0.0149875670627946,0.0326384963635641,0.0318507110618971,0.0232658293657009,0.0237225791715781,0.0270039123015016,0.0716102195716659,0.0288093483069509,0.0862214760648806,0.0285950594555022,0.0334044004866729,0.0429445001549619,0.0350502379910389,0.0411392663816124,0.0367887567559772,0.0336995309324403,0.0563590860719412,0.00931273029177116,0.015091836465608,0.0326628465611871,0.0111605856755833,0.021544762224768,0.0440132348145032,0.0447322979888866,0.0343854410327173,0.0218035301120872,0.0455778639484251,0.0321038285930554,0.0433182829706375,0.0021159073878374,0.0394524903616103,0.040685060390394,0.00596728518180987
"androsterone.glucuronide",0.0598710276103606,0.0350156554774193,0.0415712133550664,0.0494392433974446,0.0385478012761336,0.0343275312748738,0.0467817280450907,0.027581545535186,0.0594694278582018,0.0250608968156726,0.0848899057342944,0,0.0521456228898288,0.0541380580590731,0.0247136011382443,0.0274394233135715,0.0594028738342478,0.0293571506280157,0.0521343719291149,0.0424863746576536,0.0412721780557983,0.0276651763669532,0.0236805633802616,0.0287965270917941,0.0348932238461249,0.0309025310784665,0.0300724622027614,0.0353567799206388,0.0911598679410014,0.0394744615378842,0.0717990503138719,0.0345286972645023,0.0426213626310987,0.0537224988179365,0.0486760653652819,0.0562681896075978,0.0462443192497534,0.0434156371645166,0.0703817987939637,0.0129245759601919,0.0222305593660582,0.0308419653366846,0.0159570951818087,0.0285548979697737,0.0594762039759077,0.0512606978847111,0.0467704904177741,0.0280670271555874,0.0559930581834291,0.0483343917906875,0.0540805152215107,0.0025132220607284,0.0549924007175412,0.0500886103720754,0.00774312515835362
"aspartate",0.0349518315607787,0.0167945481814515,0.0248716971688822,0.0254910633293199,0.020095904598415,0.0146264178268438,0.0287867277752602,0.0168023301564715,0.0326412229256086,0.0151854995855182,0.03674950199967,0.0521456228898288,0,0.0355108391293328,0.0150175998116664,0.0152461135504171,0.0294861661751187,0.0155881223731397,0.0264359281915512,0.0261732555752661,0.0250737806844698,0.0137411205596663,0.0111978904827673,0.0169938117864962,0.0189244628435968,0.0175025254591202,0.0179060907406092,0.0199703413594023,0.0417742774357743,0.0215847018028912,0.0283880892562223,0.023472835234861,0.0236709815047456,0.0344663006015379,0.0261369992554658,0.0308111704620411,0.0252769674373822,0.0174926831123233,0.0370192260734271,0.00685283139376502,0.0109781387393435,0.0107456370910784,0.00777842570907772,0.0149344796204153,0.0289987328341421,0.0326841580816916,0.0291689840234358,0.0143058048411232,0.0309832450562506,0.0292477448815426,0.0328161415458215,0.00140377772687127,0.0296777044290066,0.0280886094382694,0.00407832004780038
"beta.sitosterol",0.0410915146853093,0.0208075099475947,0.0343893452071764,0.0369013611193864,0.0251749899628421,0.0169067452441372,0.0316639896131592,0.0208456330633058,0.0404055737489011,0.015653890963329,0.0343061427036556,0.0541380580590731,0.0355108391293328,0,0.0192218831023359,0.0150397271947405,0.0350747830623239,0.0204054271882452,0.0354151848268998,0.032999877398337,0.0282939908118315,0.0172028198642987,0.0140812518487731,0.0149338643106188,0.0205713022817282,0.0216146655512989,0.0204927934370438,0.0252875296383909,0.0370352617656595,0.0260386920259648,0.0400225728610169,0.0272509244428409,0.0315832370458545,0.0423878433303306,0.034400695259735,0.0421583560847402,0.0343506192309354,0.0223667497893952,0.0398102326739447,0.0071011732205961,0.010430379146059,0.0159162292225853,0.00939041869187092,0.0199026070552523,0.0391323006129904,0.0469703383575464,0.031005492850204,0.018848604718779,0.0367116731381714,0.0363400079915039,0.0416709594638292,0.00266169717098451,0.0338279098606603,0.0364471154548817,0.00366432116106046
"citrulline",0.017105831279291,0.0113284706114798,0.0160632981634047,0.018241833794125,0.0120201061456006,0.00661453595600952,0.0172247018239824,0.00917598552691699,0.0195804523361617,0.00825116154256617,0.0161780742562122,0.0247136011382443,0.0150175998116664,0.0192218831023359,0,0.00621212113850587,0.01780786864959,0.00963171329609778,0.017529772599162,0.0163809735430237,0.0157249821606716,0.00918866610252574,0.00699699705100356,0.00682227718387214,0.00940393162637439,0.0111879186504465,0.00986922919910054,0.0121122117648477,0.0176485451559536,0.011656106998175,0.0171720985955228,0.0132988018897783,0.0169663048638549,0.0231026570800629,0.0173364565147556,0.019334992759929,0.0153636162775729,0.0110532039589837,0.0190541445210084,0.00317971442437491,0.00585544054357279,0.00899705135540123,0.00453176210986995,0.00939932792993798,0.0183211325736032,0.019326584769894,0.0165123340969547,0.0103199950753845,0.0188643240869283,0.0154238732753883,0.0184396278818412,0.00133519836376296,0.0172260999824812,0.0197949703918196,0.00180008597288372
"diacylglycerol..14.0.18.1..16.0.16.1...1..",0.0127824247903511,0.0123958826729689,0.0100273599269288,0.0127647289339796,0.0115066804199585,0.0122349909593834,0.0116614026161317,0.0105370101758188,0.0163800085861247,0.00882346250019337,0.0226385915182427,0.0274394233135715,0.0152461135504171,0.0150397271947405,0.00621212113850587,0,0.015514816866439,0.0102441249074041,0.0123752179999608,0.0103498685368682,0.0115200161181457,0.00684477256067008,0.00445308111039936,0.0181550239142617,0.017368906868466,0.00778705309663483,0.00682416121737355,0.00947847478176935,0.0296989555169991,0.0105526251223473,0.0230555956421932,0.00915504486420269,0.0118598563155617,0.00992934805097824,0.0124717712740718,0.0145645879119627,0.0114826016257063,0.0112739182938564,0.0142425541281957,0.00249207378654169,0.00491422193183284,0.00977742906429646,0.0042054282066519,0.00878646671827639,0.0137926572774175,0.0137311848461776,0.0114304475969653,0.0104129492950333,0.0118527911140291,0.00869172091135686,0.0132142784005744,0.000571974705449054,0.0123661492645648,0.016505336907176,0.00189333295196131
"dodecenedioate..C12.1.DC..",0.0346456927892807,0.0250413770675839,0.0300050524975827,0.035649760858244,0.0276593723670111,0.0171461495622317,0.0315569727112873,0.0247469762304888,0.0403848618330433,0.0185902231705471,0.0472246801194717,0.0594028738342478,0.0294861661751187,0.0350747830623239,0.01780786864959,0.015514816866439,0,0.0194122589436025,0.0335286614157817,0.0286993106369903,0.0283982133579544,0.017431529032369,0.0132767129068172,0.0198896047472669,0.0210067947985263,0.0230159856181448,0.0199639840412323,0.0248911959606355,0.0422446135514072,0.0273907320439432,0.0374788634527938,0.0246417804564527,0.0299185723816941,0.0389856406520342,0.0339411743441786,0.0416044519311367,0.0330444900263154,0.0227940377425172,0.0398189254363533,0.00778436603766235,0.0133045289641892,0.0189570100448542,0.00886252973241282,0.0171135939879611,0.0381925573146328,0.0381339540233929,0.0303684883127102,0.0200855402604277,0.0362976582367533,0.0383731936122845,0.0377719720370924,0.00272346744642322,0.0378290143991575,0.0382457733578648,0.00578983701423074
"gulonate.",0.0177009413206686,0.0113421221049354,0.0156621968160741,0.0180587475718844,0.0141996521358898,0.00833307909673478,0.0157490966264842,0.0111698380016703,0.020343325772968,0.00857952995446854,0.0189562513864336,0.0293571506280157,0.0155881223731397,0.0204054271882452,0.00963171329609778,0.0102441249074041,0.0194122589436025,0,0.0183159435645734,0.0152914147518154,0.0147890536487004,0.00933047503288726,0.00732273283632317,0.00956281961928859,0.0116025533377011,0.010238442164429,0.0101263095911981,0.0118404350273557,0.0180621860016491,0.013080080787366,0.0207327443029363,0.0142227103714004,0.0155637586505911,0.0177421091490073,0.017695504279085,0.0191929732534456,0.0168548582743839,0.0119252038840447,0.0190015776367789,0.00362556548070838,0.0060319309822795,0.0108476802661787,0.00521355116193326,0.0104150767820144,0.020586613198628,0.0191012081852954,0.0163517089465028,0.0101168880480866,0.0172917403928463,0.0179056064679384,0.0187695233190468,0.00123476750294321,0.0182615522180191,0.0188741466039562,0.00235311506230554
"N4.acetylcytidine",0.0329660520269602,0.0224811285658642,0.0308402564993789,0.0319554421616263,0.0255767995643784,0.0162350562681493,0.0292816645636049,0.0190055982284828,0.0344777645862999,0.0138858818164961,0.0415100839345918,0.0521343719291149,0.0264359281915512,0.0354151848268998,0.017529772599162,0.0123752179999608,0.0335286614157817,0.0183159435645734,0,0.0297659032310118,0.0297805390178248,0.0170025338809337,0.0139964601999449,0.0156424633390818,0.0193311349134701,0.0207288681835461,0.0182284254747475,0.0222806694415421,0.038149299569604,0.0256537552802917,0.0409949639694827,0.0257089773381436,0.028931946798415,0.0388952277404352,0.0329585582070588,0.0368678214452233,0.0308459677338655,0.0216960359182241,0.0370233193585808,0.00641434775091561,0.0112672677626459,0.0182009227481055,0.0075789568743975,0.0188225554527417,0.0371024791023819,0.0369468277676135,0.0306464085529076,0.0178215043468918,0.0363172515820441,0.0331314777718942,0.0357781416335839,0.00227134355209372,0.0347618438109762,0.0375567206617363,0.00393613434908837
"N.acetylputrescine",0.0292187449677945,0.0175374463077343,0.0268856701035566,0.0295312854444697,0.0219052514152886,0.0116087287663516,0.0242662345483575,0.0156214133717455,0.0313566976605209,0.0130618297816468,0.0294874894387503,0.0424863746576536,0.0261732555752661,0.032999877398337,0.0163809735430237,0.0103498685368682,0.0286993106369903,0.0152914147518154,0.0297659032310118,0,0.0251179295928847,0.0155198837773709,0.0121010003634575,0.0112749364515638,0.0159276675815273,0.0192033017393226,0.0171085239512779,0.019530258710668,0.0309764487676374,0.0210284122960676,0.0283779041038899,0.0230997491331896,0.0248658681831711,0.0336262341793298,0.0273267749287626,0.0295741520593627,0.0270148438505648,0.0166174687489197,0.0312604717483987,0.00582741714695084,0.0111011114190255,0.0148451185227138,0.00758668013384977,0.0156511264657656,0.0320321449607307,0.0324052542855886,0.0270750625563469,0.0172626572537621,0.033631081108423,0.0286032263483088,0.0334263423835441,0.00192085005151443,0.0285267657381391,0.0315656051761632,0.00367375808517671
