"","ENSG00000223836.1","ENSG00000237236.1","ENSG00000250618.1","ENSG00000224653.1","ENSG00000231232.4","ENSG00000231484.1","ENSG00000236907.1","ENSG00000284221.1","ENSG00000284291.1","ENSG00000284558.1","ENSG00000284572.1","ENSG00000236692.2","ENSG00000283626.1","ENSG00000224723.1","ENSG00000169325.10","ENSG00000228851.1","ENSG00000224880.1","ENSG00000234671.1","ENSG00000230764.1","ENSG00000237309.1","ENSG00000227584.2","ENSG00000228440.1","ENSG00000230531.1","ENSG00000283311.1"
"ENSG00000284572.1",0.00066542363382502,0.000716930506683971,0.000699316433887416,0.00067148759202083,0.000694885837871937,0.000715675476597322,0.000737227556038031,0.000699236758751152,0.000718426492371183,0.000708956333832693,0,0.000665637025764715,0.000725297566360107,0.00070955040453814,0.000700318999109619,0.000719981866088236,0.000715092986123542,0.000693707650382285,0.000656437997326538,0.000722060645927127,0.000725847585293801,0.000674979359688101,0.000714323761433727,0.00069242763778881
"ENSG00000236692.2",0.000645119584600538,0.00070595297390014,0.000724996313467415,0.000675531241561563,0.000682219844320411,0.00070015085562969,0.000731397061934036,0.000698073510439202,0.000706764325889632,0.000682858995110365,0.000665637025764715,0,0.000688756281340358,0.000716328179415128,0.00072608268656595,0.000699492234519853,0.000704982062813844,0.000724270068001495,0.000635920241848568,0.000727597168237164,0.000702733935197761,0.000691784077429069,0.000731525246911305,0.000689332200060472
"ENSG00000283626.1",0.000652444667424497,0.0007205774185641,0.000707079303300771,0.000665945982772157,0.000710737788086076,0.000737823476884113,0.00072862153091425,0.000715550921213563,0.000749952351023496,0.000719765686641902,0.000725297566360107,0.000688756281340358,0,0.000707060927512181,0.000719957136141075,0.000726777742744031,0.000712761548199521,0.00071754646253895,0.000666224586660097,0.000725436930230232,0.000735666221300476,0.000667571337092124,0.000743111896769392,0.000706130980789848
"ENSG00000224723.1",0.000680992427356816,0.000752144762780763,0.000735869345312007,0.00068920242573224,0.000706429822610598,0.000728399489317236,0.000731601255212024,0.000692134817175589,0.000732253490194444,0.000728132996858152,0.00070955040453814,0.000716328179415128,0.000707060927512181,0,0.000732619758656638,0.0007048910469905,0.000712156060856858,0.00071649531002305,0.00065068945842396,0.000733778419927067,0.000734296733310897,0.000710387046043587,0.000730491811048862,0.000719560911282211
"ENSG00000169325.10",0.000677327137936455,0.000727238215972757,0.000708808555508558,0.000688877330609329,0.00072003805855102,0.000730455471296617,0.000758337462614018,0.000738356458105874,0.000740927415194346,0.000746943391182927,0.000700318999109619,0.00072608268656595,0.000719957136141075,0.000732619758656638,0,0.000730880478168566,0.000730444820400411,0.000709600462222105,0.000690696828568935,0.000739497180379971,0.000731086174948174,0.000718343264999205,0.000751760878003379,0.000706391946958873
"ENSG00000228851.1",0.000667701242681515,0.000732002815212242,0.000747130851110603,0.000664200530771599,0.000697477982893936,0.000679391765211335,0.000730607474368157,0.000726413656507132,0.000748215910515449,0.000699334637051918,0.000719981866088236,0.000699492234519853,0.000726777742744031,0.0007048910469905,0.000730880478168566,0,0.000727566774489661,0.000697464030536703,0.000674380693783422,0.000743878577718094,0.000728258646666305,0.000732430609068545,0.000742779783077697,0.000699486291192988
"ENSG00000224880.1",0.00065953299657583,0.000721122793752266,0.000721317394293924,0.000668274987346159,0.000694090570310502,0.000701232325274582,0.000743052228514181,0.000696109724165802,0.000729212058704859,0.000695798580815465,0.000715092986123542,0.000704982062813844,0.000712761548199521,0.000712156060856858,0.000730444820400411,0.000727566774489661,0,0.000725797069260343,0.000669441604379536,0.000721532582134928,0.000740731598346221,0.00069891030259198,0.000728309838833146,0.000672516946261793
"ENSG00000234671.1",0.000665432635221893,0.000728011446197506,0.000712066721810845,0.000697270339826615,0.000702757498008397,0.000705368240040608,0.000737312268827759,0.000710483505754295,0.000726600959109257,0.000695919442702523,0.000693707650382285,0.000724270068001495,0.00071754646253895,0.00071649531002305,0.000709600462222105,0.000697464030536703,0.000725797069260343,0,0.000643321337037087,0.00072293330706882,0.000738454913182476,0.000694092181857294,0.000724949583745322,0.000711640002260382
"ENSG00000230764.1",0.000620496357506196,0.000669322512761705,0.000696496889705715,0.000640350070751583,0.000676185509619087,0.000665162664158029,0.000688983020254492,0.00065717230524944,0.000700542136761014,0.000703226074673015,0.000656437997326538,0.000635920241848568,0.000666224586660097,0.00065068945842396,0.000690696828568935,0.000674380693783422,0.000669441604379536,0.000643321337037087,0,0.000662745529651138,0.00065804779601054,0.000676710738144637,0.000707348923161135,0.000663099791874493
"ENSG00000237309.1",0.000670174784917939,0.000740048563254661,0.000745560323576124,0.000697235840156327,0.000698688092752375,0.000754447637958271,0.000759220121120065,0.000731893919784561,0.000753749597948734,0.00072483417995608,0.000722060645927127,0.000727597168237164,0.000725436930230232,0.000733778419927067,0.000739497180379971,0.000743878577718094,0.000721532582134928,0.00072293330706882,0.000662745529651138,0,0.000733212719580873,0.000707820125734313,0.000751222152178742,0.000718870552578946
"ENSG00000227584.2",0.000675157987277356,0.000753320262803144,0.000719535320032843,0.000711233764692193,0.00069975127104955,0.000718671687426643,0.000753667269756389,0.000704267602668518,0.000716784412632937,0.000734745448070661,0.000725847585293801,0.000702733935197761,0.000735666221300476,0.000734296733310897,0.000731086174948174,0.000728258646666305,0.000740731598346221,0.000738454913182476,0.00065804779601054,0.000733212719580873,0,0.000686665361563425,0.000706765072584712,0.000733003903669184
"ENSG00000228440.1",0.00065493698870408,0.000710409704453386,0.000725936580095797,0.000657642735959855,0.000673440463687971,0.000708644579637545,0.000729083270263156,0.000698244233677142,0.000709306679616439,0.000705197673296056,0.000674979359688101,0.000691784077429069,0.000667571337092124,0.000710387046043587,0.000718343264999205,0.000732430609068545,0.00069891030259198,0.000694092181857294,0.000676710738144637,0.000707820125734313,0.000686665361563425,0,0.000702910388287685,0.000693267116693991
