gene_name,30ff778c-844b-4140-9025-7ab1938f10a9,3396edba-0d2a-4485-ad0a-5114b38c1abe,427a04c9-9b48-49de-8a47-2adc4e1dd32a,461fda5d-d6e6-4354-b035-c302cc43b03f,95668f0b-130d-44d4-94c0-ba7a4e7798e6,9dc09c86-c728-4bd9-b2b6-2d9962dad662,a58e2ae3-a236-4209-8292-70465216cb85,d2e2915c-125e-45c6-b7f3-6a815b3d2859,de5e449b-bc57-4836-89e4-73a3ba24abdf,fb32f0b1-4fb7-43d5-8091-dc13a1f6d9e8
ABHD17AP6,0.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
ABHD17AP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17AP8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17AP9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ABHD17B,620.0,416.0,1069.0,1205.0,970.0,610.0,643.0,1049.0,1019.0,828.0
ABHD17C,1019.0,2288.0,4458.0,2203.0,3504.0,1852.0,993.0,1705.0,2376.0,797.0
ABHD18,550.0,476.0,710.0,801.0,763.0,983.0,333.0,712.0,904.0,690.0
ABHD2,11914.0,7096.0,23726.0,18030.0,21823.0,10335.0,5721.0,8383.0,17963.0,4299.0
ABHD3,923.0,445.0,2328.0,1796.0,954.0,1934.0,668.0,2152.0,2162.0,860.0
ABHD4,1905.0,2479.0,5043.0,3729.0,5695.0,3572.0,2736.0,3214.0,2951.0,3248.0
ABHD5,1756.0,2316.0,1593.0,1790.0,2331.0,2045.0,2776.0,2914.0,4050.0,2107.0
ABHD6,628.0,267.0,245.0,204.0,423.0,309.0,593.0,822.0,196.0,509.0
ABHD8,555.0,492.0,1315.0,287.0,1173.0,411.0,379.0,948.0,846.0,1281.0
ABI1,4370.0,3508.0,6165.0,4986.0,4286.0,5241.0,3883.0,3783.0,4913.0,4191.0
ABI1P1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
ABI2,2513.0,3275.0,5935.0,4959.0,3715.0,3986.0,1280.0,3549.0,4920.0,3965.0
ABI3,1781.0,465.0,356.0,243.0,410.0,643.0,553.0,1227.0,687.0,600.0
ABI3BP,4660.0,818.0,896.0,247.0,712.0,1408.0,709.0,1379.0,1002.0,330.0
ABITRAM,876.0,1499.0,572.0,1737.0,1533.0,1261.0,855.0,1190.0,1288.0,941.0
ABITRAMP1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
ABL1,5998.0,5931.0,4837.0,8342.0,6834.0,5567.0,4543.0,9882.0,8256.0,6363.0
ABL2,3440.0,2159.0,6868.0,6498.0,2060.0,2505.0,2563.0,4141.0,5099.0,2392.0
ABLIM1,7010.0,5820.0,11461.0,7389.0,7832.0,2239.0,15820.0,4953.0,4541.0,8104.0
ABLIM2,297.0,236.0,158.0,78.0,497.0,58.0,216.0,298.0,109.0,330.0
ABLIM3,2901.0,949.0,408.0,328.0,4455.0,3145.0,106.0,3873.0,975.0,320.0
ABO,103.0,22.0,248.0,28.0,596.0,57.0,113.0,128.0,76.0,99.0
ABR,7380.0,3448.0,5643.0,4159.0,6230.0,2890.0,3145.0,6042.0,6080.0,3348.0
ABRA,0.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0,1.0,6.0
ABRACL,2412.0,2557.0,1780.0,2007.0,1127.0,3923.0,3941.0,2233.0,2020.0,3034.0
ABRAXAS1,550.0,319.0,199.0,330.0,395.0,281.0,225.0,488.0,498.0,278.0
ABRAXAS2,1294.0,1245.0,2082.0,2285.0,1635.0,1153.0,729.0,1765.0,1580.0,1556.0
ABT1,1108.0,1639.0,1492.0,1884.0,2280.0,2458.0,1273.0,2014.0,1702.0,1840.0
ABT1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABTB1,1914.0,854.0,1578.0,531.0,4228.0,2863.0,952.0,2395.0,1504.0,973.0
ABTB2,189.0,311.0,1505.0,424.0,386.0,249.0,821.0,221.0,331.0,714.0
AC000032.1,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
AC000035.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000036.1,0.0,2.0,42.0,0.0,3.0,2.0,0.0,2.0,1.0,0.0
AC000041.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000050.2,8.0,1.0,2.0,0.0,4.0,1.0,1.0,8.0,16.0,6.0
AC000058.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000061.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000065.1,1.0,0.0,13.0,13.0,0.0,6.0,9.0,1.0,2.0,4.0
AC000065.2,1.0,0.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
AC000067.1,5.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,10.0,4.0
AC000068.1,21.0,13.0,70.0,41.0,104.0,42.0,18.0,89.0,71.0,12.0
AC000068.2,1.0,1.0,7.0,0.0,12.0,10.0,1.0,5.0,3.0,7.0
AC000068.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000072.1,2.0,1.0,4.0,5.0,0.0,2.0,1.0,1.0,1.0,0.0
AC000077.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000078.1,8.0,0.0,31.0,23.0,19.0,7.0,6.0,9.0,6.0,3.0
AC000081.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AC000081.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000082.1,1.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0
AC000085.1,4.0,1.0,16.0,0.0,8.0,4.0,1.0,1.0,1.0,0.0
AC000089.1,25.0,51.0,32.0,46.0,83.0,79.0,13.0,54.0,35.0,64.0
AC000093.1,6.0,6.0,19.0,73.0,19.0,40.0,15.0,31.0,21.0,30.0
AC000095.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000095.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000111.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000111.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000113.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AC000120.1,8.0,5.0,8.0,2.0,7.0,13.0,5.0,10.0,10.0,0.0
AC000120.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000120.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000123.1,24.0,16.0,35.0,116.0,29.0,50.0,24.0,30.0,38.0,64.0
AC000123.2,8.0,12.0,22.0,8.0,24.0,47.0,6.0,14.0,22.0,21.0
AC000123.3,166.0,87.0,249.0,438.0,187.0,118.0,154.0,297.0,488.0,201.0
AC000124.1,0.0,0.0,1.0,7.0,3.0,4.0,1.0,2.0,0.0,5.0
AC000362.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000367.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AC000372.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000374.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000403.1,115.0,40.0,81.0,148.0,19.0,56.0,59.0,60.0,82.0,47.0
AC001226.1,0.0,3.0,4.0,13.0,15.0,3.0,1.0,4.0,5.0,6.0
AC001226.2,7.0,6.0,15.0,4.0,6.0,12.0,18.0,7.0,11.0,16.0
AC002044.1,0.0,1.0,1.0,0.0,0.0,16.0,0.0,1.0,0.0,2.0
AC002044.2,6.0,2.0,18.0,10.0,0.0,23.0,2.0,8.0,0.0,11.0
AC002044.3,0.0,0.0,0.0,18.0,2.0,8.0,0.0,0.0,0.0,4.0
